"X","Y"
12.0338,43.7325
12.0969,43.7325
12.1599,43.7325
12.223,43.7325
11.9077,43.7775
11.9708,43.7775
12.0338,43.7775
12.0969,43.7775
12.1599,43.7775
12.223,43.7775
12.286,43.7775
11.7816,43.8225
11.8447,43.8225
11.9077,43.8225
11.9708,43.8225
12.0338,43.8225
12.0969,43.8225
12.1599,43.8225
12.223,43.8225
12.286,43.8225
12.3491,43.8225
12.6013,43.8225
12.6643,43.8225
11.7186,43.8675
11.7816,43.8675
11.8447,43.8675
11.9077,43.8675
11.9708,43.8675
12.0338,43.8675
12.0969,43.8675
12.1599,43.8675
12.223,43.8675
12.286,43.8675
12.3491,43.8675
12.4121,43.8675
12.5382,43.8675
12.6013,43.8675
12.6643,43.8675
12.7274,43.8675
11.7186,43.9125
11.7816,43.9125
11.8447,43.9125
11.9077,43.9125
11.9708,43.9125
12.0338,43.9125
12.0969,43.9125
12.1599,43.9125
12.223,43.9125
12.286,43.9125
12.3491,43.9125
12.4121,43.9125
12.4752,43.9125
12.5382,43.9125
12.6013,43.9125
12.6643,43.9125
12.7274,43.9125
11.6555,43.9575
11.7186,43.9575
11.7816,43.9575
11.8447,43.9575
11.9077,43.9575
11.9708,43.9575
12.0338,43.9575
12.0969,43.9575
12.1599,43.9575
12.223,43.9575
12.286,43.9575
12.3491,43.9575
12.4121,43.9575
12.4752,43.9575
12.5382,43.9575
12.6013,43.9575
12.6643,43.9575
12.7274,43.9575
11.6555,44.0025
11.7186,44.0025
11.7816,44.0025
11.8447,44.0025
11.9077,44.0025
11.9708,44.0025
12.0338,44.0025
12.0969,44.0025
12.1599,44.0025
12.223,44.0025
12.286,44.0025
12.3491,44.0025
12.4121,44.0025
12.4752,44.0025
12.5382,44.0025
12.6013,44.0025
12.6643,44.0025
12.7274,44.0025
10.8989,44.0475
11.6555,44.0475
11.7186,44.0475
11.7816,44.0475
11.8447,44.0475
11.9077,44.0475
11.9708,44.0475
12.0338,44.0475
12.0969,44.0475
12.1599,44.0475
12.223,44.0475
12.286,44.0475
12.3491,44.0475
12.4121,44.0475
12.4752,44.0475
12.5382,44.0475
12.6013,44.0475
10.8359,44.0925
10.8989,44.0925
10.962,44.0925
11.025,44.0925
11.0881,44.0925
11.1511,44.0925
11.2142,44.0925
11.2772,44.0925
11.5925,44.0925
11.6555,44.0925
11.7186,44.0925
11.7816,44.0925
11.8447,44.0925
11.9077,44.0925
11.9708,44.0925
12.0338,44.0925
12.0969,44.0925
12.1599,44.0925
12.223,44.0925
12.286,44.0925
12.3491,44.0925
12.4121,44.0925
12.4752,44.0925
12.5382,44.0925
12.6013,44.0925
10.5206,44.1375
10.5837,44.1375
10.6467,44.1375
10.7098,44.1375
10.7728,44.1375
10.8359,44.1375
10.8989,44.1375
10.962,44.1375
11.025,44.1375
11.0881,44.1375
11.1511,44.1375
11.2142,44.1375
11.2772,44.1375
11.5294,44.1375
11.5925,44.1375
11.6555,44.1375
11.7186,44.1375
11.7816,44.1375
11.8447,44.1375
11.9077,44.1375
11.9708,44.1375
12.0338,44.1375
12.0969,44.1375
12.1599,44.1375
12.223,44.1375
12.286,44.1375
12.3491,44.1375
12.4121,44.1375
12.4752,44.1375
10.5206,44.1825
10.5837,44.1825
10.6467,44.1825
10.7098,44.1825
10.7728,44.1825
10.8359,44.1825
10.8989,44.1825
10.962,44.1825
11.025,44.1825
11.0881,44.1825
11.1511,44.1825
11.2142,44.1825
11.2772,44.1825
11.3403,44.1825
11.4033,44.1825
11.4664,44.1825
11.5294,44.1825
11.5925,44.1825
11.6555,44.1825
11.7186,44.1825
11.7816,44.1825
11.8447,44.1825
11.9077,44.1825
11.9708,44.1825
12.0338,44.1825
12.0969,44.1825
12.1599,44.1825
12.223,44.1825
12.286,44.1825
12.3491,44.1825
12.4121,44.1825
12.4752,44.1825
10.3945,44.2275
10.4576,44.2275
10.5206,44.2275
10.5837,44.2275
10.6467,44.2275
10.7098,44.2275
10.7728,44.2275
10.8359,44.2275
10.8989,44.2275
10.962,44.2275
11.025,44.2275
11.0881,44.2275
11.1511,44.2275
11.2142,44.2275
11.2772,44.2275
11.3403,44.2275
11.4033,44.2275
11.4664,44.2275
11.5294,44.2275
11.5925,44.2275
11.6555,44.2275
11.7186,44.2275
11.7816,44.2275
11.8447,44.2275
11.9077,44.2275
11.9708,44.2275
12.0338,44.2275
12.0969,44.2275
12.1599,44.2275
12.223,44.2275
12.286,44.2275
12.3491,44.2275
12.4121,44.2275
10.2054,44.2725
10.2684,44.2725
10.3315,44.2725
10.3945,44.2725
10.4576,44.2725
10.5206,44.2725
10.5837,44.2725
10.6467,44.2725
10.7098,44.2725
10.7728,44.2725
10.8359,44.2725
10.8989,44.2725
10.962,44.2725
11.025,44.2725
11.0881,44.2725
11.1511,44.2725
11.2142,44.2725
11.2772,44.2725
11.3403,44.2725
11.4033,44.2725
11.4664,44.2725
11.5294,44.2725
11.5925,44.2725
11.6555,44.2725
11.7186,44.2725
11.7816,44.2725
11.8447,44.2725
11.9077,44.2725
11.9708,44.2725
12.0338,44.2725
12.0969,44.2725
12.1599,44.2725
12.223,44.2725
12.286,44.2725
12.3491,44.2725
10.1423,44.3175
10.2054,44.3175
10.2684,44.3175
10.3315,44.3175
10.3945,44.3175
10.4576,44.3175
10.5206,44.3175
10.5837,44.3175
10.6467,44.3175
10.7098,44.3175
10.7728,44.3175
10.8359,44.3175
10.8989,44.3175
10.962,44.3175
11.025,44.3175
11.0881,44.3175
11.1511,44.3175
11.2142,44.3175
11.2772,44.3175
11.3403,44.3175
11.4033,44.3175
11.4664,44.3175
11.5294,44.3175
11.5925,44.3175
11.6555,44.3175
11.7186,44.3175
11.7816,44.3175
11.8447,44.3175
11.9077,44.3175
11.9708,44.3175
12.0338,44.3175
12.0969,44.3175
12.1599,44.3175
12.223,44.3175
12.286,44.3175
12.3491,44.3175
9.70097,44.3625
9.76402,44.3625
10.0162,44.3625
10.0793,44.3625
10.1423,44.3625
10.2054,44.3625
10.2684,44.3625
10.3315,44.3625
10.3945,44.3625
10.4576,44.3625
10.5206,44.3625
10.5837,44.3625
10.6467,44.3625
10.7098,44.3625
10.7728,44.3625
10.8359,44.3625
10.8989,44.3625
10.962,44.3625
11.025,44.3625
11.0881,44.3625
11.1511,44.3625
11.2142,44.3625
11.2772,44.3625
11.3403,44.3625
11.4033,44.3625
11.4664,44.3625
11.5294,44.3625
11.5925,44.3625
11.6555,44.3625
11.7186,44.3625
11.7816,44.3625
11.8447,44.3625
11.9077,44.3625
11.9708,44.3625
12.0338,44.3625
12.0969,44.3625
12.1599,44.3625
12.223,44.3625
12.286,44.3625
12.3491,44.3625
9.44877,44.4075
9.51182,44.4075
9.57487,44.4075
9.63792,44.4075
9.70097,44.4075
9.76402,44.4075
10.0162,44.4075
10.0793,44.4075
10.1423,44.4075
10.2054,44.4075
10.2684,44.4075
10.3315,44.4075
10.3945,44.4075
10.4576,44.4075
10.5206,44.4075
10.5837,44.4075
10.6467,44.4075
10.7098,44.4075
10.7728,44.4075
10.8359,44.4075
10.8989,44.4075
10.962,44.4075
11.025,44.4075
11.0881,44.4075
11.1511,44.4075
11.2142,44.4075
11.2772,44.4075
11.3403,44.4075
11.4033,44.4075
11.4664,44.4075
11.5294,44.4075
11.5925,44.4075
11.6555,44.4075
11.7186,44.4075
11.7816,44.4075
11.8447,44.4075
11.9077,44.4075
11.9708,44.4075
12.0338,44.4075
12.0969,44.4075
12.1599,44.4075
12.223,44.4075
12.286,44.4075
12.3491,44.4075
9.44877,44.4525
9.51182,44.4525
9.57487,44.4525
9.63792,44.4525
9.70097,44.4525
9.76402,44.4525
9.82707,44.4525
9.89012,44.4525
9.95317,44.4525
10.0162,44.4525
10.0793,44.4525
10.1423,44.4525
10.2054,44.4525
10.2684,44.4525
10.3315,44.4525
10.3945,44.4525
10.4576,44.4525
10.5206,44.4525
10.5837,44.4525
10.6467,44.4525
10.7098,44.4525
10.7728,44.4525
10.8359,44.4525
10.8989,44.4525
10.962,44.4525
11.025,44.4525
