"X","Y"
10.0793,44.3625
10.1423,44.3625
9.70097,44.4075
10.0162,44.4075
10.0793,44.4075
10.1423,44.4075
10.2054,44.4075
9.51182,44.4525
9.57487,44.4525
9.63792,44.4525
9.70097,44.4525
9.76402,44.4525
10.0162,44.4525
10.0793,44.4525
10.1423,44.4525
10.2054,44.4525
9.51182,44.4975
9.57487,44.4975
9.63792,44.4975
9.70097,44.4975
9.76402,44.4975
9.82707,44.4975
9.89012,44.4975
9.95317,44.4975
10.0162,44.4975
10.0793,44.4975
10.1423,44.4975
10.2054,44.4975
10.2684,44.4975
10.3315,44.4975
9.51182,44.5425
9.57487,44.5425
9.63792,44.5425
9.70097,44.5425
9.76402,44.5425
9.82707,44.5425
9.89012,44.5425
9.95317,44.5425
10.0162,44.5425
10.0793,44.5425
10.1423,44.5425
10.2054,44.5425
10.2684,44.5425
10.3315,44.5425
9.57487,44.5875
9.63792,44.5875
9.70097,44.5875
9.76402,44.5875
9.82707,44.5875
9.89012,44.5875
9.95317,44.5875
10.0162,44.5875
10.0793,44.5875
10.1423,44.5875
10.2054,44.5875
10.2684,44.5875
10.3315,44.5875
10.3945,44.5875
9.63792,44.6325
9.70097,44.6325
9.76402,44.6325
9.82707,44.6325
9.89012,44.6325
9.95317,44.6325
10.0162,44.6325
10.0793,44.6325
10.1423,44.6325
10.2054,44.6325
10.2684,44.6325
10.3315,44.6325
10.3945,44.6325
9.76402,44.6775
9.82707,44.6775
9.89012,44.6775
9.95317,44.6775
10.0162,44.6775
10.0793,44.6775
10.1423,44.6775
10.2054,44.6775
10.2684,44.6775
10.3315,44.6775
10.3945,44.6775
9.82707,44.7225
9.89012,44.7225
9.95317,44.7225
10.0162,44.7225
10.0793,44.7225
10.1423,44.7225
10.2054,44.7225
10.2684,44.7225
10.3315,44.7225
10.3945,44.7225
9.89012,44.7675
9.95317,44.7675
10.0162,44.7675
10.0793,44.7675
10.1423,44.7675
10.2054,44.7675
10.2684,44.7675
10.3315,44.7675
10.3945,44.7675
9.95317,44.8125
10.0162,44.8125
10.0793,44.8125
10.1423,44.8125
10.2054,44.8125
10.2684,44.8125
10.3315,44.8125
10.3945,44.8125
10.0162,44.8575
10.0793,44.8575
